9.705556700119512461e-13	5.704717134198353735e-12	2.405545492528737223e-11	1.144818152055203120e-11	1.715572179504886577e-12
9.797638152966684060e-13	5.762026760251086135e-12	2.433352858200797149e-11	1.159143560424412359e-11	1.736801960324870370e-12
9.891399156618642811e-13	5.820368882243511092e-12	2.461696522309402717e-11	1.173761158141549631e-11	1.758462391998089149e-12
9.986885633824929006e-13	5.879771089800927192e-12	2.490591340647979767e-11	1.188679349588283864e-11	1.780565825183622755e-12
1.008414517870925845e-12	5.940261958659242792e-12	2.520052711044422940e-11	1.203906853537597818e-11	1.803125071787507772e-12
1.018322713275054499e-12	6.001871094941263449e-12	2.550096598003736699e-11	1.219452717688094139e-11	1.826153426265431450e-12
1.028418266491118163e-12	6.064629181829592198e-12	2.580739558695135343e-11	1.235326334000462870e-11	1.849664688100454664e-12
1.038706485617712061e-12	6.128568028788093485e-12	2.611998770369265577e-11	1.251537454887684182e-11	1.873673185531267182e-12
1.049192878879360487e-12	6.193720623495012674e-12	2.643892059297584572e-11	1.268096210314308087e-11	1.898193800612014886e-12
1.059883164050143265e-12	6.260121186662736978e-12	2.676437931332591309e-11	1.285013125864283965e-11	1.923241995690786580e-12
1.070783278410112134e-12	6.327805229932190766e-12	2.709655604195045943e-11	1.302299141841237363e-11	1.948833841400298842e-12
1.081899389269715877e-12	6.396809617043950150e-12	2.743565041602195932e-11	1.319965633469932258e-11	1.974986046261448968e-12
1.093237905100095253e-12	6.467172628503316789e-12	2.778186989359725712e-11	1.338024432272871675e-11	2.001715988007990459e-12
1.104805487310020317e-12	6.538934029973172399e-12	2.813543013549453764e-11	1.356487848701690571e-11	2.029041746748974413e-12
1.116609062713375327e-12	6.612135144646416154e-12	2.849655540955029825e-11	1.375368696109155496e-11	2.056982140094570745e-12
1.128655836734521063e-12	6.686818929869279214e-12	2.886547901878925306e-11	1.394680316154300061e-11	2.085556760380779023e-12
1.140953307402575200e-12	6.763030058308032173e-12	2.924244375516038977e-11	1.414436605740546286e-11	2.114786014139173332e-12
1.153509280189711155e-12	6.840815003974753363e-12	2.962770238062369203e-11	1.434652045594601860e-11	2.144691163969505025e-12
1.166331883752958277e-12	6.920222133452925748e-12	3.002151813751455122e-11	1.455341730602597447e-11	2.175294372985680928e-12
1.179429586643840518e-12	7.001301802691180721e-12	3.042416529026864713e-11	1.476521402029407917e-11	2.206618752019467991e-12
1.192811215055383395e-12	7.084106459763310678e-12	3.083592970076003003e-11	1.498207481757399994e-11	2.238688409781407826e-12
1.206485971681800658e-12	7.168690754025484801e-12	3.125710943969040290e-11	1.520417108692136702e-11	2.271528506194897030e-12
1.220463455772396302e-12	7.255111652137259325e-12	3.168801543667074609e-11	1.543168177494943954e-11	2.305165309137508469e-12
1.234753684468094746e-12	7.343428561452054576e-12	3.212897217185770424e-11	1.566479379815653320e-11	2.339626254843319044e-12
1.249367115516516159e-12	7.433703461325563978e-12	3.258031841225084390e-11	1.590370248213742202e-11	2.374940012241694661e-12
