4.141974249990504084e-14	9.929597581727521548e-13	4.333791894379635844e-12	1.941625740044399285e-11	7.137505217122452891e-12	1.316486069150159658e-12	1.328331724184759937e-14
4.183870804759252171e-14	1.002929286453277899e-12	4.378091198709690599e-12	1.966400068001925421e-11	7.232355866072600060e-12	1.333872112242854324e-12	1.344870652623358499e-14
4.226582006319573010e-14	1.013095938637787409e-12	4.423237947143881125e-12	1.991691947896513592e-11	7.329234870264528974e-12	1.351629489997060233e-12	1.361754634563792542e-14
4.270131171368728353e-14	1.023465440451727445e-12	4.469256020463749204e-12	2.017516528109122883e-11	7.428202466433175556e-12	1.369769229921437762e-12	1.378993799743874906e-14
4.314542490811677721e-14	1.034043734427421702e-12	4.516170185029805883e-12	2.043889529949607716e-11	7.529321191835135602e-12	1.388302780791503683e-12	1.396598662214260557e-14
4.359841070263233798e-14	1.044836990015408882e-12	4.564006133499674838e-12	2.070827274318155843e-11	7.632655992051348890e-12	1.407242032396288082e-12	1.414580138268750097e-14
4.406052972788280593e-14	1.055851614257112679e-12	4.612790527784007292e-12	2.098346709843966230e-11	7.738274334794143566e-12	1.426599336385128173e-12	1.432949565370149139e-14
4.453205264024060595e-14	1.067094263055076447e-12	4.662551044383462987e-12	2.126465442596416665e-11	7.846246330107101468e-12	1.446387528285828212e-12	1.451718722135923183e-14
4.501326059839002520e-14	1.078571853079651960e-12	4.713316422260637022e-12	2.155201767470864982e-11	7.956644857374868787e-12	1.466619950770622983e-12	1.470899849452651865e-14
4.550444576694157489e-14	1.090291574353940935e-12	4.765116513412141716e-12	2.184574701358918621e-11	8.069545699591237496e-12	1.487310478252094023e-12	1.490505672793405361e-14
4.600591184885574170e-14	1.102260903561905053e-12	4.817982336318374687e-12	2.214604018221154326e-11	8.185027685367304409e-12	1.508473542897377484e-12	1.510549425817730697e-14
4.651797464859548403e-14	1.114487618127977212e-12	4.871946132461856396e-12	2.245310286189234674e-11	8.303172839198283862e-12	1.530124162155683371e-12	1.531044875339957670e-14
4.704096266807226316e-14	1.126979811120179337e-12	4.927041426119566332e-12	2.276714906834037762e-11	8.424066540546983290e-12	1.552277967901417265e-12	1.552006347758088325e-14
4.757521773760890937e-14	1.139745907032770470e-12	4.983303087650365265e-12	2.308840156746914106e-11	8.547797692345201822e-12	1.574951237303096255e-12	1.573448757042641507e-14
4.812109568431565538e-14	1.152794678508794793e-12	5.040767400515715457e-12	2.341709231592618660e-11	8.674458899561020285e-12	1.598160925536846333e-12	1.595387634392535952e-14
4.867896704046242749e-14	1.166135264067642777e-12	5.099472132290537572e-12	2.375346292804873582e-11	8.804146658530917915e-12	1.621924700472568230e-12	1.617839159673511878e-14
4.924921779463507097e-14	1.179777186907888567e-12	5.159456609941177332e-12	2.409776517109073419e-11	8.936961557811078646e-12	1.646260979471062119e-12	1.640820194763721320e-14
4.983225018868514034e-14	1.193730374861278437e-12	5.220761799669548908e-12	2.445026149071301963e-11	9.073008491362616265e-12	1.671188968441446769e-12	1.664348318941092111e-14
5.042848356372504015e-14	1.208005181579866607e-12	5.283430391646436748e-12	2.481122556888948450e-11	9.212396884951289345e-12	1.696728703320287467e-12	1.688441866457921389e-14
5.103835525868426736e-14	1.222612409044984880e-12	5.347506889983234490e-12	2.518094291655673283e-11	9.355240936714157583e-12	1.722901094147012650e-12	1.713119966459980420e-14
5.166232156523162713e-14	1.237563331493991557e-12	5.413037708319735356e-12	2.555971150352597530e-11	9.501659872923938680e-12	1.749727971924585194e-12	1.738402585420379573e-14
5.230085874318197010e-14	1.252869720868743300e-12	5.480071271437033433e-12	2.594784242838472857e-11	9.651778220067699804e-12	1.777232138470095969e-12	1.764310572272545806e-14
